timestamp,MpKrakAlKras-PM10-1g,MpKrakBujaka-PM10-1g
2017-01-01 01:00:00,213.733,392.428
2017-01-01 02:00:00,213.868,258.667
2017-01-01 03:00:00,221.923,211.76
2017-01-01 04:00:00,244.69,191.82
2017-01-01 05:00:00,224.673,187.663
2017-01-01 06:00:00,212.159,183.347
2017-01-01 07:00:00,198.375,153.062
2017-01-01 08:00:00,191.881,148.309
2017-01-01 09:00:00,187.32,153.049
2017-01-01 10:00:00,181.194,127.63
2017-01-01 11:00:00,161.198,119.89
2017-01-01 12:00:00,136.218,108.161
2017-01-01 13:00:00,121.805,81.3565
2017-01-01 14:00:00,119.096,68.4491
2017-01-01 15:00:00,121.681,83.1521
2017-01-01 16:00:00,138.353,114.037
2017-01-01 17:00:00,150.415,154.226
2017-01-01 18:00:00,161.587,187.882
2017-01-01 19:00:00,197.133,212.48
2017-01-01 20:00:00,217.923,223.324
2017-01-01 21:00:00,250.248,255.901
2017-01-01 22:00:00,227.516,219.527
2017-01-01 23:00:00,180.035,152.65
2017-01-02 00:00:00,172.937,121.743
2017-01-02 01:00:00,183.753,121.301
2017-01-02 02:00:00,175.653,111.391
2017-01-02 03:00:00,165.996,110.515
2017-01-02 04:00:00,161.859,104.794
2017-01-02 05:00:00,148.047,122.24
2017-01-02 06:00:00,155.74,122.438
2017-01-02 07:00:00,172.183,136.115
2017-01-02 08:00:00,164.058,108.128
2017-01-02 09:00:00,128.782,95.5802
2017-01-02 10:00:00,63.6029,95.9938
2017-01-02 11:00:00,65.9497,83.9729
2017-01-02 12:00:00,63.7852,79.7861
2017-01-02 13:00:00,56.4587,60.5615
2017-01-02 14:00:00,58.4029,50.7763
2017-01-02 15:00:00,60.9776,46.9894
2017-01-02 16:00:00,62.9084,48.4465
2017-01-02 17:00:00,68.6024,48.7258
2017-01-02 18:00:00,63.4646,42.4466
2017-01-02 19:00:00,74.1618,44.0408
2017-01-02 20:00:00,82.8891,49.2543
2017-01-02 21:00:00,80.4899,50.3724
2017-01-02 22:00:00,84.9774,52.4611
2017-01-02 23:00:00,81.5429,46.3961
2017-01-03 00:00:00,76.635,52.0273
2017-01-03 01:00:00,70.8453,53.2988
2017-01-03 02:00:00,60.4085,57.6759
2017-01-03 03:00:00,60.233,55.3449
2017-01-03 04:00:00,64.6024,59.9007
2017-01-03 05:00:00,59.0521,42.6707
2017-01-03 06:00:00,64.4128,54.0666
2017-01-03 07:00:00,56.8681,46.4552
2017-01-03 08:00:00,53.0414,39.0024
2017-01-03 09:00:00,60.4785,53.0996
2017-01-03 10:00:00,65.2123,40.3312
2017-01-03 11:00:00,49.0609,54.3447
2017-01-03 12:00:00,39.8876,35.8939
2017-01-03 13:00:00,35.0581,32.8015
2017-01-03 14:00:00,32.8196,28.4947
2017-01-03 15:00:00,33.7029,30.4918
2017-01-03 16:00:00,32.6704,24.7437
2017-01-03 17:00:00,38.2005,25.4123
2017-01-03 18:00:00,40.6326,47.1855
2017-01-03 19:00:00,36.8893,25.0785
2017-01-03 20:00:00,28.6372,30.4245
2017-01-03 21:00:00,20.6859,21.7357
2017-01-03 22:00:00,30.391,22.9479
2017-01-03 23:00:00,24.8553,17.5693
2017-01-04 00:00:00,21.6576,14.1229
2017-01-04 01:00:00,14.4917,13.2392
2017-01-04 02:00:00,11.6354,15.6685
2017-01-04 03:00:00,11.2963,15.8523
2017-01-04 04:00:00,9.41525,12.0196
2017-01-04 05:00:00,9.99736,7.76082
2017-01-04 06:00:00,9.51672,7.90426
2017-01-04 07:00:00,15.067,10.0692
2017-01-04 08:00:00,20.0745,13.7717
