timestamp,MpKrakAlKras-PM10-1g,Przewidywania1,Przewidywania2,Przewidywania3,Weather,Direction(deg),Temp(C),Wind(m/s),Humidity,Barometer(mbar)
2017-01-01 01:00:00,213.733,213.868, 221.923, 244.69,Ice fog.,0.0,-6.0,1.0,0.93,10.24
2017-01-01 02:00:00,213.868,221.923, 244.69, 224.673,Ice fog.,190.0,-7.0,2.0,0.93,10.24
2017-01-01 03:00:00,221.923,244.69, 224.673, 212.15900000000002,Ice fog.,200.0,-4.0,3.0,0.8,10.23
2017-01-01 04:00:00,244.69,224.673, 212.15900000000002, 198.375,Ice fog.,210.0,-7.0,3.0,0.86,10.22
2017-01-01 05:00:00,224.673,212.15900000000002, 198.375, 191.88099999999997,Ice fog.,200.0,-6.0,3.0,0.8,10.22
2017-01-01 06:00:00,212.159,198.375, 191.88099999999997, 187.32,Ice fog.,190.0,-7.0,2.0,0.86,10.22
2017-01-01 07:00:00,198.375,191.88099999999997, 187.32, 181.19400000000002,Ice fog.,210.0,-8.0,3.0,0.86,10.21
2017-01-01 08:00:00,191.881,187.32, 181.19400000000002, 161.19799999999998,Ice fog.,0.0,-8.0,1.0,0.93,10.21
2017-01-01 09:00:00,187.32,181.19400000000002, 161.19799999999998, 136.218,Ice fog.,200.0,-6.0,2.0,0.86,10.21
2017-01-01 10:00:00,181.194,161.19799999999998, 136.218, 121.805,Ice fog.,200.0,-3.0,2.0,0.74,10.21
2017-01-01 11:00:00,161.19799999999995,136.218, 121.805, 119.096,Ice fog.,210.0,0.0,2.0,0.64,10.2
2017-01-01 12:00:00,136.218,121.805, 119.096, 121.681,Clear.,180.0,2.0,3.0,0.56,10.19
2017-01-01 13:00:00,121.805,119.096, 121.681, 138.35299999999998,Sunny.,220.0,5.0,5.0,0.39,10.18
2017-01-01 14:00:00,119.096,121.681, 138.35299999999998, 150.415,Sunny.,210.0,4.0,4.0,0.45,10.18
2017-01-01 15:00:00,121.681,138.35299999999998, 150.415, 161.58700000000002,Clear.,190.0,2.0,3.0,0.56,10.17
2017-01-01 16:00:00,138.35299999999998,150.415, 161.58700000000002, 197.13299999999998,Haze.,200.0,-1.0,2.0,0.69,10.17
2017-01-01 17:00:00,150.415,161.58700000000002, 197.13299999999998, 217.923,Ice fog.,270.0,-2.0,2.0,0.74,10.17
2017-01-01 18:00:00,161.58700000000005,197.13299999999998, 217.923, 250.248,Ice fog.,0.0,-3.0,1.0,0.74,10.16
2017-01-01 19:00:00,197.133,217.923, 250.248, 227.516,Ice fog.,200.0,-4.0,2.0,0.8,10.16
2017-01-01 20:00:00,217.923,250.248, 227.516, 180.035,Ice fog.,220.0,-7.0,3.0,0.86,10.16
2017-01-01 21:00:00,250.248,227.516, 180.035, 172.937,Ice fog.,240.0,-6.0,2.0,0.8,10.16
2017-01-01 22:00:00,227.516,180.035, 172.937, 183.753,Ice fog.,200.0,-6.0,2.0,0.86,10.16
2017-01-01 23:00:00,180.035,172.937, 183.753, 175.653,Ice fog.,200.0,-6.0,2.0,0.8,10.15
