timestamp,MpKrakAlKras-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-01 01:00:00,213.733,244.69,187.32,121.805
2017-01-01 02:00:00,213.868,224.673,181.194,119.096
2017-01-01 03:00:00,221.923,212.159,161.19799999999995,121.681
2017-01-01 04:00:00,244.69,198.375,136.218,138.35299999999998
2017-01-01 05:00:00,224.673,191.881,121.805,150.415
2017-01-01 06:00:00,212.159,187.32,119.096,161.58700000000005
2017-01-01 07:00:00,198.375,181.194,121.681,197.133
2017-01-01 08:00:00,191.881,161.19799999999995,138.35299999999998,217.923
2017-01-01 09:00:00,187.32,136.218,150.415,250.248
2017-01-01 10:00:00,181.194,121.805,161.58700000000005,227.516
2017-01-01 11:00:00,161.19799999999995,119.096,197.133,180.035
2017-01-01 12:00:00,136.218,121.681,217.923,172.937
2017-01-01 13:00:00,121.805,138.35299999999998,250.248,183.753
2017-01-01 14:00:00,119.096,150.415,227.516,175.653
2017-01-01 15:00:00,121.681,161.58700000000005,180.035,165.99599999999995
2017-01-01 16:00:00,138.35299999999998,197.133,172.937,161.859
2017-01-01 17:00:00,150.415,217.923,183.753,148.047
2017-01-01 18:00:00,161.58700000000005,250.248,175.653,155.74
2017-01-01 19:00:00,197.133,227.516,165.99599999999995,172.183
2017-01-01 20:00:00,217.923,180.035,161.859,164.058
2017-01-01 21:00:00,250.248,172.937,148.047,128.782
2017-01-01 22:00:00,227.516,183.753,155.74,63.6029
2017-01-01 23:00:00,180.035,175.653,172.183,65.9497
2017-01-02 00:00:00,172.937,165.99599999999995,164.058,63.7852
2017-01-02 01:00:00,183.753,161.859,128.782,56.4587
2017-01-02 02:00:00,175.653,148.047,63.6029,58.4029
2017-01-02 03:00:00,165.99599999999995,155.74,65.9497,60.9776
2017-01-02 04:00:00,161.859,172.183,63.7852,62.9084
2017-01-02 05:00:00,148.047,164.058,56.4587,68.6024
2017-01-02 06:00:00,155.74,128.782,58.4029,63.4646
2017-01-02 07:00:00,172.183,63.6029,60.9776,74.1618
