,timestamp,MpKrakAlKras-PM10-1g,Weather,Temp(C),Wind(m/s),Direction(deg),Humidity,Barometer(mbar),PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
0,2017-01-01 01:00:00,213.733,Ice fog.,-6.0,1.0,0.0,0.93,10.24,244.69,187.32,121.805
1,2017-01-01 02:00:00,213.868,Ice fog.,-7.0,2.0,190.0,0.93,10.24,224.673,181.194,119.096
2,2017-01-01 03:00:00,221.923,Ice fog.,-4.0,3.0,200.0,0.8,10.23,212.159,161.19799999999995,121.681
3,2017-01-01 04:00:00,244.69,Ice fog.,-7.0,3.0,210.0,0.86,10.22,198.375,136.218,138.35299999999998
4,2017-01-01 05:00:00,224.673,Ice fog.,-6.0,3.0,200.0,0.8,10.22,191.881,121.805,150.415
5,2017-01-01 06:00:00,212.159,Ice fog.,-7.0,2.0,190.0,0.86,10.22,187.32,119.096,161.58700000000005
6,2017-01-01 07:00:00,198.375,Ice fog.,-8.0,3.0,210.0,0.86,10.21,181.194,121.681,197.133
7,2017-01-01 08:00:00,191.881,Ice fog.,-8.0,1.0,0.0,0.93,10.21,161.19799999999995,138.35299999999998,217.923
8,2017-01-01 09:00:00,187.32,Ice fog.,-6.0,2.0,200.0,0.86,10.21,136.218,150.415,250.248
9,2017-01-01 10:00:00,181.194,Ice fog.,-3.0,2.0,200.0,0.74,10.21,121.805,161.58700000000005,227.516
10,2017-01-01 11:00:00,161.19799999999995,Ice fog.,0.0,2.0,210.0,0.64,10.2,119.096,197.133,180.035
11,2017-01-01 12:00:00,136.218,Clear.,2.0,3.0,180.0,0.56,10.19,121.681,217.923,172.937
12,2017-01-01 13:00:00,121.805,Sunny.,5.0,5.0,220.0,0.39,10.18,138.35299999999998,250.248,183.753
13,2017-01-01 14:00:00,119.096,Sunny.,4.0,4.0,210.0,0.45,10.18,150.415,227.516,175.653
14,2017-01-01 15:00:00,121.681,Clear.,2.0,3.0,190.0,0.56,10.17,161.58700000000005,180.035,165.99599999999995
