,timestamp,MpKrakBujaka-PM10-1g,Weather,Temp(C),Wind(m/s),Direction(deg),Humidity,Barometer(mbar),PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
0,2017-01-01 01:00:00,392.42800000000005,Ice fog.,-6.0,1.0,0.0,0.93,10.24,191.82,153.049,81.3565
1,2017-01-01 02:00:00,258.66700000000003,Ice fog.,-7.0,2.0,190.0,0.93,10.24,187.663,127.63,68.4491
2,2017-01-01 03:00:00,211.76,Ice fog.,-4.0,3.0,200.0,0.8,10.23,183.347,119.89,83.1521
3,2017-01-01 04:00:00,191.82,Ice fog.,-7.0,3.0,210.0,0.86,10.22,153.062,108.161,114.037
4,2017-01-01 05:00:00,187.663,Ice fog.,-6.0,3.0,200.0,0.8,10.22,148.309,81.3565,154.226
5,2017-01-01 06:00:00,183.347,Ice fog.,-7.0,2.0,190.0,0.86,10.22,153.049,68.4491,187.882
6,2017-01-01 07:00:00,153.062,Ice fog.,-8.0,3.0,210.0,0.86,10.21,127.63,83.1521,212.48
7,2017-01-01 08:00:00,148.309,Ice fog.,-8.0,1.0,0.0,0.93,10.21,119.89,114.037,223.324
8,2017-01-01 09:00:00,153.049,Ice fog.,-6.0,2.0,200.0,0.86,10.21,108.161,154.226,255.901
9,2017-01-01 10:00:00,127.63,Ice fog.,-3.0,2.0,200.0,0.74,10.21,81.3565,187.882,219.527
10,2017-01-01 11:00:00,119.89,Ice fog.,0.0,2.0,210.0,0.64,10.2,68.4491,212.48,152.65
11,2017-01-01 12:00:00,108.161,Clear.,2.0,3.0,180.0,0.56,10.19,83.1521,223.324,121.743
12,2017-01-01 13:00:00,81.3565,Sunny.,5.0,5.0,220.0,0.39,10.18,114.037,255.901,121.301
13,2017-01-01 14:00:00,68.4491,Sunny.,4.0,4.0,210.0,0.45,10.18,154.226,219.527,111.391
14,2017-01-01 15:00:00,83.1521,Clear.,2.0,3.0,190.0,0.56,10.17,187.882,152.65,110.515
15,2017-01-01 16:00:00,114.037,Haze.,-1.0,2.0,200.0,0.69,10.17,212.48,121.743,104.794
16,2017-01-01 17:00:00,154.226,Ice fog.,-2.0,2.0,270.0,0.74,10.17,223.324,121.301,122.24
17,2017-01-01 18:00:00,187.882,Ice fog.,-3.0,1.0,0.0,0.74,10.16,255.901,111.391,122.438
18,2017-01-01 19:00:00,212.48,Ice fog.,-4.0,2.0,200.0,0.8,10.16,219.527,110.515,136.115
19,2017-01-01 20:00:00,223.324,Ice fog.,-7.0,3.0,220.0,0.86,10.16,152.65,104.794,108.128
