timestamp,Temp,Weather,Wind,Direction (degrees),Humidity,Barometer,Visibility
2017-01-01 00:00:00,-6C,Ice fog.,1 m/s,0,93%,1025 mbar,3km
2017-01-01 00:30:00,-7C,Ice fog.,1 m/s,0,93%,1024 mbar,3km
2017-01-01 01:00:00,-6C,Ice fog.,1 m/s,0,93%,1024 mbar,3km
2017-01-01 01:30:00,-7C,Ice fog.,1 m/s,0,93%,1024 mbar,3km
2017-01-01 02:00:00,-7C,Ice fog.,2 m/s,190,93%,1024 mbar,3km
2017-01-01 02:30:00,-7C,Ice fog.,1 m/s,0,93%,1024 mbar,4km
2017-01-01 03:00:00,-4C,Ice fog.,3 m/s,200,80%,1023 mbar,5km
2017-01-01 03:30:00,-8C,Ice fog.,3 m/s,210,86%,1023 mbar,4km
2017-01-01 04:00:00,-7C,Ice fog.,3 m/s,210,86%,1022 mbar,4km
2017-01-01 04:30:00,-5C,Ice fog.,3 m/s,200,80%,1022 mbar,4km
2017-01-01 05:00:00,-6C,Ice fog.,3 m/s,200,80%,1022 mbar,4km
2017-01-01 05:30:00,-7C,Ice fog.,2 m/s,0,86%,1022 mbar,4km
2017-01-01 06:00:00,-7C,Ice fog.,2 m/s,190,86%,1022 mbar,4km
2017-01-01 06:30:00,-6C,Ice fog.,3 m/s,200,86%,1022 mbar,4km
2017-01-01 07:00:00,-8C,Ice fog.,3 m/s,210,86%,1021 mbar,4km
2017-01-01 07:30:00,-7C,Ice fog.,1 m/s,0,86%,1021 mbar,3km
2017-01-01 08:00:00,-8C,Ice fog.,1 m/s,0,93%,1021 mbar,3km
2017-01-01 08:30:00,-7C,Ice fog.,2 m/s,210,86%,1021 mbar,3km
2017-01-01 09:00:00,-6C,Ice fog.,2 m/s,200,86%,1021 mbar,3km
2017-01-01 09:30:00,-3C,Ice fog.,2 m/s,200,74%,1021 mbar,3km
2017-01-01 10:00:00,-3C,Ice fog.,2 m/s,200,74%,1021 mbar,3km
2017-01-01 10:30:00,-2C,Ice fog.,2 m/s,200,74%,1020 mbar,4km
2017-01-01 11:00:00,0C,Ice fog.,2 m/s,210,64%,1020 mbar,5km
2017-01-01 11:30:00,1C,Clear.,4 m/s,200,60%,1020 mbar,6km
2017-01-01 12:00:00,2C,Clear.,3 m/s,180,56%,1019 mbar,7km
2017-01-01 12:30:00,3C,Clear.,3 m/s,170,52%,1019 mbar,8km
2017-01-01 13:00:00,5C,Sunny.,5 m/s,220,39%,1018 mbar,16km
2017-01-01 13:30:00,5C,Sunny.,4 m/s,230,42%,1018 mbar,16km
2017-01-01 14:00:00,4C,Sunny.,4 m/s,210,45%,1018 mbar,16km
2017-01-01 14:30:00,3C,Sunny.,3 m/s,220,48%,1017 mbar,16km
2017-01-01 15:00:00,2C,Clear.,3 m/s,190,56%,1017 mbar,8km
2017-01-01 15:30:00,0C,Clear.,2 m/s,200,64%,1017 mbar,6km
2017-01-01 16:00:00,-1C,Haze.,2 m/s,200,69%,1017 mbar,5km
2017-01-01 16:30:00,-1C,Haze.,1 m/s,220,69%,1017 mbar,4km
2017-01-01 17:00:00,-2C,Ice fog.,2 m/s,270,74%,1017 mbar,4km
2017-01-01 17:30:00,-3C,Ice fog.,1 m/s,0,74%,1016 mbar,5km
2017-01-01 18:00:00,-3C,Ice fog.,1 m/s,0,74%,1016 mbar,4km
2017-01-01 18:30:00,-4C,Ice fog.,1 m/s,0,80%,1016 mbar,4km
2017-01-01 19:00:00,-4C,Ice fog.,2 m/s,200,80%,1016 mbar,4km
