timestamp,Weather,Direction(deg),Temp(C),Wind(m/s),Humidity,Barometer(mbar)
2017-01-01 00:00:00,Ice fog.,0,-6,1,0.93,10.25
2017-01-01 00:30:00,Ice fog.,0,-7,1,0.93,10.24
2017-01-01 01:00:00,Ice fog.,0,-6,1,0.93,10.24
2017-01-01 01:30:00,Ice fog.,0,-7,1,0.93,10.24
2017-01-01 02:00:00,Ice fog.,190,-7,2,0.93,10.24
2017-01-01 02:30:00,Ice fog.,0,-7,1,0.93,10.24
2017-01-01 03:00:00,Ice fog.,200,-4,3,0.8,10.23
2017-01-01 03:30:00,Ice fog.,210,-8,3,0.86,10.23
2017-01-01 04:00:00,Ice fog.,210,-7,3,0.86,10.22
2017-01-01 04:30:00,Ice fog.,200,-5,3,0.8,10.22
2017-01-01 05:00:00,Ice fog.,200,-6,3,0.8,10.22
2017-01-01 05:30:00,Ice fog.,0,-7,2,0.86,10.22
2017-01-01 06:00:00,Ice fog.,190,-7,2,0.86,10.22
2017-01-01 06:30:00,Ice fog.,200,-6,3,0.86,10.22
2017-01-01 07:00:00,Ice fog.,210,-8,3,0.86,10.21
2017-01-01 07:30:00,Ice fog.,0,-7,1,0.86,10.21
2017-01-01 08:00:00,Ice fog.,0,-8,1,0.93,10.21
2017-01-01 08:30:00,Ice fog.,210,-7,2,0.86,10.21
2017-01-01 09:00:00,Ice fog.,200,-6,2,0.86,10.21
2017-01-01 09:30:00,Ice fog.,200,-3,2,0.74,10.21
2017-01-01 10:00:00,Ice fog.,200,-3,2,0.74,10.21
2017-01-01 10:30:00,Ice fog.,200,-2,2,0.74,10.2
2017-01-01 11:00:00,Ice fog.,210,0,2,0.64,10.2
2017-01-01 11:30:00,Clear.,200,1,4,0.6,10.2
2017-01-01 12:00:00,Clear.,180,2,3,0.56,10.19
2017-01-01 12:30:00,Clear.,170,3,3,0.52,10.19
2017-01-01 13:00:00,Sunny.,220,5,5,0.39,10.18
2017-01-01 13:30:00,Sunny.,230,5,4,0.42,10.18
2017-01-01 14:00:00,Sunny.,210,4,4,0.45,10.18
2017-01-01 14:30:00,Sunny.,220,3,3,0.48,10.17
2017-01-01 15:00:00,Clear.,190,2,3,0.56,10.17
2017-01-01 15:30:00,Clear.,200,0,2,0.64,10.17
2017-01-01 16:00:00,Haze.,200,-1,2,0.69,10.17
2017-01-01 16:30:00,Haze.,220,-1,1,0.69,10.17
2017-01-01 17:00:00,Ice fog.,270,-2,2,0.74,10.17
2017-01-01 17:30:00,Ice fog.,0,-3,1,0.74,10.16
2017-01-01 18:00:00,Ice fog.,0,-3,1,0.74,10.16
2017-01-01 18:30:00,Ice fog.,0,-4,1,0.8,10.16
2017-01-01 19:00:00,Ice fog.,200,-4,2,0.8,10.16
2017-01-01 19:30:00,Ice fog.,220,-6,3,0.86,10.16
2017-01-01 20:00:00,Ice fog.,220,-7,3,0.86,10.16
2017-01-01 20:30:00,Ice fog.,0,-5,1,0.86,10.16
2017-01-01 21:00:00,Ice fog.,240,-6,2,0.8,10.16
2017-01-01 21:30:00,Ice fog.,210,-5,2,0.86,10.16
2017-01-01 22:00:00,Ice fog.,200,-6,2,0.86,10.16
